adiff = -adiff;#702,19.007745190670615
return result;#1614,16.901052374588815
def.nans = INFINITE;#2182,16.90066577911377
shiftLeft();#734,16.89983623906186
field.setIEEEFlagsBits(DfpField.FLAG_INEXACT);#2291,16.89944331876693
public double toDouble() {#2303,16.89866485595703
case 0:#1122,16.897704633076987
protected byte sign;#167,16.89644491672516
double x = Double.longBitsToDouble(bits);#2376,16.894507498968217
dividend[i + 1] = remainder[i];#1750,16.893680466545952
if (nans != FINITE) {#1955,16.893579595229205
Dfp result;#1887,16.893190681934357
default:#1017,16.892317295074463
lostdigit = mant[0];#730,16.891291535418965
if (fpdecimal.charAt(p) < '0' || fpdecimal.charAt(p) > '9') {#451,16.890601978745572
return result;#1441,16.887227560344495
boolean decimalFound = false;#340,16.886522361210414
result = result.add(a);#1031,16.885452806949615
final int offset = 4;  // Starting offset into Striped#342,16.88415005093529
mant[mant.length - 1] = 0;#682,16.883490467071532
result.sign = 1;  // Per IEEE 854-1987 Section 6.3#1297,16.8814941294053
this(field, (long) x);#202,16.880612205056583
field.setIEEEFlagsBits(DfpField.FLAG_INVALID);#1452,16.880598776681083
result.exp = exp - divisor.exp + md - mant.length;#1769,16.879040718078613
negate = true;#2321,16.87903618812561
def = newInstance(getZero());#2158,16.878706898008073
minadj = minadj / (divisor.mant[mant.length-1]+1);#1703,16.87846501668294
return greaterThan(x) || lessThan(x);#849,16.876334970647637
public boolean isNaN() {#807,16.876058491793547
if (p != rawdigits.length) {#2007,16.875684587579023
field.setIEEEFlagsBits(DfpField.FLAG_DIV_ZERO);#1809,16.87374022603035
return this;#1186,16.873410877428558
field.setIEEEFlagsBits(DfpField.FLAG_INVALID);#1624,16.873256056649343
return result;#1893,16.87281068166097
def = newInstance(getZero());#2146,16.870925290243967
dotrap(DfpField.FLAG_INVALID, LESS_THAN_TRAP, x, result);#758,16.868876419569318
dotrap(DfpField.FLAG_INEXACT, ALIGN_TRAP, this, this);#715,16.86820317677089
protected int[] mant;#164,16.86563523610433
minadj = (remainder[mant.length] * RADIX)+remainder[mant.length-1];#1702,16.863976912064985
for (int i=0; i<mant.length; i++) {#1764,16.863528861999512
return result;#1447,16.861352569178532
result.nans = INFINITE;#1637,16.860584168207076
field.setIEEEFlagsBits(DfpField.FLAG_INEXACT);  // signal inexact#1036,16.86028046078152
return;#298,16.859837327684676
if (exponent > -1023) {#2341,16.859750747680664
fpdecimal = s;#394,16.859309949372943
field.setIEEEFlagsBits(DfpField.FLAG_INEXACT);#739,16.858354245462724
result = newInstance(getZero());#1618,16.85801116625468
def = newInstance(getZero());#2180,16.856468677520752
return result;#1307,16.855531345714223
return dotrap(DfpField.FLAG_INVALID, NEXT_AFTER_TRAP, x, result);#2238,16.85432004928589
final Dfp inc;#2255,16.853544528667744
Dfp x = newInstance(this);#1896,16.853374088511746
Dfp d = newInstance(getOne());#1087,16.85076591703627
if (nans == FINITE && mant[mant.length-1] != 0) {#2144,16.850425075840306
return dotrap(DfpField.FLAG_INVALID, NEW_INSTANCE_TRAP, d, result);#599,16.8503367524398
int md = mant.length * 2 - 1;  // default, in case result is zero#1475,16.849272796085902
isLongMin = true;#220,16.848875284194946
Dfp a = newInstance(this);#1207,16.84623617284438
field.setIEEEFlagsBits(DfpField.FLAG_INVALID);#1819,16.84611988067627
sign = 1;#335,16.842701355616253
result = newInstance(getZero());#1543,16.84133701324463
for (int i = 0; i < mant.length; i++) {#1279,16.840893705685932
return exp * 4 - 1;#1097,16.83887807946456
result.sign = (byte) (sign * x.sign);#1446,16.838665994008384
return result;#1620,16.838356670580414
result = newInstance(getZero());#1625,16.83801273504893
field.setIEEEFlagsBits(DfpField.FLAG_INEXACT);#1398,16.83717478475263
return result;#1041,16.836074395613238
return result;#1814,16.835731760660806
def = newInstance(getZero());#2153,16.83435426439558
nans = INFINITE;#293,16.833175078682277
dotrap(DfpField.FLAG_INVALID, GREATER_THAN_TRAP, x, result);#783,16.832193889115985
int e = exp;#2060,16.832070497366097
q = 0;#2002,16.830535411834717
min = trial+minadj;  // update the minimum#1706,16.830438867211342
case ROUND_CEIL:#1009,16.82859702732252
def.sign = result.sign;#2181,16.82853094736735
Dfp result = newInstance(this);#994,16.828003210179947
int dm = (i<mant.length)?divisor.mant[i]:0;#1680,16.827651001686274
result.exp = 0;#1293,16.8263807826572
while (p<rawdigits.length) {#2012,16.825912973155145
return divisor;#1608,16.825296492803666
result = dotrap(DfpField.FLAG_INVALID, MULTIPLY_TRAP, result, result);#1545,16.821916506840633
if (field.getRadixDigits() != d.field.getRadixDigits()) {#595,16.817677783966065
result = result.add(a);#1024,16.81707015633583
return exp * 4 - 4;#1105,16.815371004740395
this.field = field;#214,16.81336886542184
field.setIEEEFlagsBits(DfpField.FLAG_INVALID);#789,16.811820953123032
return d;#1134,16.8099777915261
if (x.nans == INFINITE && nans == FINITE && mant[mant.length-1] != 0) {#1438,16.807923952738445
Dfp result = newInstance(this);#1826,16.807658868677475
return result;#1508,16.80751505765048
public static Dfp copysign(final Dfp x, final Dfp y) {#2220,16.805644615836766
buffer[p++] = (char) (((mant[i]) % 10) + '0');#2083,16.805032239641463
return new Dfp(d);#602,16.804729843139647
default:#1363,16.80319731576102
continue;#448,16.799886809455025
result.sign = (byte) (sign * divisor.sign);#1619,16.799090057611465
int dividend[]; // current status of the dividend#1580,16.798171838124592
result.sign = (byte) (sign * divisor.sign);#1613,16.79680758714676
protected void shiftLeft() {#666,16.7963849067688
split[0] = Double.longBitsToDouble(Double.doubleToLongBits(toDouble()) & mask);#2394,16.79448917933873
if (nans != FINITE) {#1521,16.79275910994586
inc = newInstance(getOne());#2258,16.79202585220337
this(field, (long) x);#194,16.791772225323847
for (int i = 0; i < mant.length-result.exp; i++) {#995,16.791318791253225
if (b.mant[b.mant.length-1] != 0 && a.mant[b.mant.length-1] != 0) {#887,16.79058592054579
nans = INFINITE;#348,16.790063858032227
int max = (divMsb + 1) / divisor.mant[mant.length-1];#1670,16.789737108591442
return compare(this, x) == 0;#824,16.789258003234863
return newInstance(this);#1868,16.787776947021484
if (field.getRadixDigits() != x.field.getRadixDigits()) {#1168,16.787594572703043
boolean inexact = false;#696,16.786952427455358
public boolean lessThan(final Dfp x) {#751,16.786801278591156
public int log10()  {#1095,16.786625255237926
default:#1914,16.78463547570365
protected Dfp(final DfpField field, int x) {#201,16.78238031599257
return dotrap(DfpField.FLAG_INVALID, MULTIPLY_TRAP, x, result);#1417,16.78218274367483
if (fpexp.charAt(i) == '-')#380,16.779519173406786
if (field.getRadixDigits() != x.field.getRadixDigits()) {#2234,16.77945442199707
exp = 0;#336,16.77922860781352
inc = newInstance(getOne());#2268,16.77823677062988
if (nans != FINITE) {#1797,16.77620517506319
case ROUND_FLOOR:#1362,16.77619652748108
return new String(buffer, q, p - q);#2122,16.775197887420653
field.setIEEEFlagsBits(DfpField.FLAG_INEXACT);#714,16.773640801829675
field.setIEEEFlagsBits(DfpField.FLAG_INEXACT);#2286,16.767371516073904
return 0;#862,16.765926615397134
dotrap(DfpField.FLAG_INVALID, GREATER_THAN_TRAP, x, newInstance(getZero()));#790,16.765806109406228
if (field.getRadixDigits() != x.field.getRadixDigits()) {#1413,16.76513557434082
sign = (byte) 1;#359,16.762099466825788
return extra;#1158,16.761327916925605
System.arraycopy(mant, mant.length - exp, mant, mant.length - 1 - exp, exp);#234,16.760281462418405
field.setIEEEFlagsBits(DfpField.FLAG_INVALID);#764,16.76004695892334
dotrap(DfpField.FLAG_INVALID, LESS_THAN_TRAP, x, newInstance(getZero()));#765,16.759599375170332
return newInstance(this);#1862,16.753271049923367
if (nans == INFINITE && x.nans == FINITE) {#1185,16.751796420415243
result.nans = INFINITE;#1812,16.749087787809827
Dfp result = newInstance(getZero());#1820,16.749040256847035
boolean up = false;#2242,16.74725781954252
result = newInstance(getZero());#1635,16.747150421142578
boolean isLongMin = false;#216,16.74555689493815
for (int i = 0; i < mant.length - 1; i++) {#679,16.74320811491746
final byte asign = a.sign;#1214,16.74224062526927
result = newInstance(getZero());#1453,16.741576552391052
return a.sign;#893,16.741163707914808
return 0;#706,16.739511235555014
for (int i = 0; i < mant.length + 1; i++) {#1688,16.739360641030704
final int rsize = 4;   // size of radix in decimal digits#341,16.738124809265138
int q;#1979,16.735064419833098
final byte bsign = b.sign;#1215,16.73473778892966
if (a.equals(half) && result.exp > 0 && (result.mant[mant.length-result.exp]&1) != 0) {#1028,16.734175484755944
mant = new int[field.getRadixDigits()];#182,16.7328631661155
if (isNaN() || x.isNaN()) {#763,16.730660785328258
while ( (mantissa & 0x0010000000000000L) == 0) {#279,16.728102588653563
return new Dfp(field, s);#612,16.72595276552088
for (int i = 0; i < mant.length - 1; i++) {#243,16.725741704305012
inc.sign = this.sign;#2260,16.72443108558655
return false;#784,16.72337589263916
result = dotrap(DfpField.FLAG_INVALID, MULTIPLY_TRAP, newInstance(getZero()), result);#1535,16.722237169742584
if (isNaN() || x.isNaN()) {#788,16.722204858606514
return field.getOne();#654,16.722095012664795
trialgood = false;  // assume false#1712,16.719669494628906
return -b.sign;#879,16.718610286712646
for (int i=0; i<fpexp.length(); i++)#378,16.718469225127123
Dfp result = newInstance(getZero());#1199,16.71519899368286
for (int i = a.mant.length - 1; i >= 0; i--) {#898,16.7131830851237
int remainder[];// remainder#1582,16.710708209446498
return false;#759,16.71067523956299
return result;#1639,16.710574785868328
for (i = 0; i < rsize; i++) {#508,16.710106923029972
if (exponent > 1023) {#2349,16.709202766418457
striped[3] = '0';#432,16.709046185016632
inc = n > 5000 || (n == 5000 && (mant[0] & 1) == 1);  // round half-even#1351,16.707450294494627
String str = y.toString();#2355,16.707421898841858
if (result.mant[mant.length-1] == 0) {#946,16.70698587711041
trialgood = false;#1672,16.706692695617676
sign = (byte) 1;#347,16.70320194645932
if (nans == FINITE && mant[mant.length-1] == 0) {#2151,16.702409563837826
def = newInstance(getZero());#2138,16.702279965082806
p = 0;#403,16.699879725774128
int rh = 0;#1678,16.698401314871653
protected Dfp(final DfpField field, double x) {#256,16.697727574242485
nans = INFINITE;#354,16.697389903821442
Dfp result = newInstance(getZero());#1810,16.69444617358121
inc.sign = this.sign;#2270,16.693297386169434
p = s.indexOf("E");#367,16.689600444975355
for (int i = 0; i < mant.length; i++) {#1371,16.688637222562516
return compare(this, x) < 0;#769,16.686780876583523
final Dfp result = newInstance(getZero());#1415,16.684839829154637
return field.newDfp(sig, code);#622,16.68387875556946
if (field.getRadixDigits() != x.field.getRadixDigits()) {#754,16.68005126317342
if (field.getRadixDigits() != x.field.getRadixDigits()) {#779,16.676867643992107
return def;#2204,16.676568204706367
public static final int MIN_EXP = -32767;#103,16.676091611385345
private final DfpField field;#176,16.675838123668324
for (int i = 0; i < mant.length; i++) {#1152,16.675662120183308
if (x.nans == INFINITE && nans == FINITE) {#1189,16.673912684122723
if (lessThan(getZero())) {#2306,16.671316063922383
Dfp ppx = getZero();#1924,16.670916318893433
int lostdigit = 0;#695,16.6694233076913
case ROUND_CEIL:#1358,16.668844574376156
inc.exp = MIN_EXP-mant.length;#2263,16.667068670535908
return;#355,16.664945329938615
public Dfp newInstance(final int x) {#567,16.66433874766032
for (int i = 0; i < mant.length; i++) {#1146,16.660565932591755
final Dfp result = newInstance(getZero());#1594,16.657629800879437
return newInstance(this);#1872,16.654465718702838
for (int i = 0; i < mant.length; i++) {#1749,16.652572870254517
return field.getTwo();#661,16.651400361742294
switch (x.mant[mant.length-1] / 2000) {#1904,16.650988505436825
return trunc(DfpField.RoundingMode.ROUND_HALF_EVEN);#918,16.647878153570765
if (q == offset) {#467,16.646289286406144
if (buffer[q] == '.') {#2108,16.637861653378135
final Dfp result = newInstance(getZero());#2236,16.63707277049189
rounded = rint();#1052,16.635727148789627
while ((p - q) < (mant.length * rsize)) {#507,16.63561134338379
{#379,16.635572140033428
return result;#950,16.63279203935103
if (this.lessThan(x)) {#2243,16.63225706000077
protected Dfp(final DfpField field, byte x) {#193,16.632040447658962
final Dfp half = newInstance("0.5");#1018,16.63058775663376
public Dfp ceil() {#933,16.630480679598723
for (int i = 0; i < mant.length; i++) {#1656,16.626339077949524
for (int i = mant.length - 1; i >= mant.length - rounded.exp; i--) {#1062,16.626138629335344
return result;#1786,16.62523252313787
result.shiftLeft();#1283,16.62449051352108
public Dfp newInstance(final long x) {#575,16.622086652119954
return result;#1572,16.619137330488726
result = add(inc);#2266,16.618244647979736
if (exponent < -1074) {#2345,16.615733252631294
int lostdigit = 0;#1556,16.614343575068883
return 0;#717,16.612931632995604
aextradigit = a.complement(aextradigit);#1251,16.61064304005016
q = 1;#2104,16.609098037083943
for (int i = 0; i < mant.length; i++) {#1257,16.60764976342519
if (decimalFound && significantDigits == 0) {#479,16.606922331310454
if (lessThan(getZero())) {#2319,16.606450030678197
if (dx.mant[mant.length-1] == 0) {#1941,16.602075894673664
if (divisor < 0 || divisor >= RADIX) {#1818,16.601939519246418
mant[0] = 0;#670,16.600274403889973
ae = ae % p;#2045,16.59775266647339
p = 0;#1985,16.58933925628662
dividend[0] = 0;#1748,16.58869020562423
final Dfp result = newInstance(getZero());#1170,16.587714112323262
def.sign = result.sign;#2139,16.58735390504201
result.sign = (byte) (sign * divisor.sign);#1636,16.585492576871598
public static final int ERR_SCALE = 32760;#110,16.58516580918256
if (nans == INFINITE || nans == SNAN) {#2162,16.581730842590332
if (result.mant[mant.length-1] == 0) {#1836,16.581129807692307
if (decimalFound && fpdecimal.charAt(p) == '0') {#412,16.58103627869577
if (decimalFound && q != offset) {#464,16.580055136429635
case DfpField.FLAG_INVALID:#2137,16.579707394475523
public Dfp newInstance(final byte x) {#559,16.579472287495932
protected byte nans;#173,16.57932451036241
Dfp def = result;#2134,16.57889768055507
if (mant[mant.length-1] > 10) {#1102,16.57751488685608
int trailingZeros = 0;#492,16.57517490386963
dividend[i] = mant[i];#1657,16.572666122799827
if (fpdecimal.charAt(p) == '.') {#416,16.572063616343907
Dfp result = newInstance(getZero());#1211,16.56944974263509
striped[1] = '0';#430,16.56902575492859
if ( (x.nans == INFINITE && nans == FINITE && mant[mant.length-1] == 0) ||#1450,16.566108304400778
inc.exp = MIN_EXP-mant.length;#2279,16.56502541180315
if (result.sign == -1) {#1003,16.56391496658325
if (a.mant[i] > b.mant[i]) {#899,16.56259978612264
if (striped[p] != '0') {#494,16.559303681055706
b.sign = 1;#1218,16.557863644191197
if (result.mant[mant.length-1] == 0) { // if result is zero, set exp to zero#1563,16.557464917500813
return new String(outputbuffer, 0, q);#2049,16.557182211624948
for (int i = 0; i < mant.length + 1; i++) {#1679,16.555302872377283
inc = n > 5000 || (n == 5000 && (mant[0] & 1) == 0);  // round half-odd#1355,16.553856998019747
case ROUND_HALF_DOWN:#1346,16.552764545787465
return compare(this, x) > 0;#794,16.552465438842773
return 0;#2346,16.550149218241373
return dfp2sci();#1965,16.547468397352432
if (mant[mant.length-1] > 1000) {#1096,16.54608698685964
protected Dfp trap(int type, String what, Dfp oper, Dfp def, Dfp result) {#2203,16.545954636165074
while (buffer[q] == '0') {#2105,16.545826962119655
return a.sign;#875,16.54516309850356
if (result.mant[mant.length-1] != 0) {#1280,16.544375737508137
return;#349,16.542930058070592
Should be faster than doing a natural logarithm.  */#2325,16.542271862859312
if (lessThan(getZero())) {#2251,16.54031833849455
int e;#1980,16.538105444474652
striped[q] = fpdecimal.charAt(p);#456,16.537435814186377
final Dfp result = newInstance(getZero());#756,16.537101952925973
if (result.mant[mant.length-1] == 0) {#1292,16.53612727385301
shiftRight();#732,16.53420352935791
return -a.sign;#889,16.528688170693137
return nans == INFINITE;#801,16.527474522590637
if (a.mant[i] < b.mant[i]) {#903,16.52678518295288
return DfpField.FLAG_INEXACT;#1399,16.52452033499013
return 0;#883,16.523334566752116
if (nans == INFINITE && divisor.nans == FINITE) {#1611,16.522283792495728
Arrays.fill(mant, 0);#711,16.52178313515403
for (int i = 0; i < mant.length; i++) {#1550,16.521677613258362
int p = 1;#2058,16.510157144986668
if (divisor.nans == INFINITE && nans == FINITE) {#1617,16.50823712348938
if (striped[q] == '0') {#470,16.508024385997228
Dfp result;#2256,16.507799943288166
int rh = 0; /* acts as a carry */#1256,16.505177548057155
if (result.sign == 1) {#1010,16.499481891763622
public Dfp newInstance() {#551,16.498864954168145
public Dfp sqrt() {#1857,16.496770772066984
return field.getZero();#647,16.49667010988508
int p;#1978,16.493572755293414
if (rounded.sign == -1) {#1066,16.492267449696858
final Dfp result = newInstance(getZero());#781,16.492008333620817
while (buffer[p-1] == '0') {#2113,16.48864578065418
public Dfp(final Dfp d) {#319,16.487865447998047
protected Dfp(final DfpField field, final String s) {#331,16.483134068940814
if (result.mant[mant.length-1] == 0) {#1492,16.481700273660515
fpdecimal = s.substring(0, p);#374,16.47765610768245
return;#361,16.47689621789115
protected Dfp(final DfpField field, final byte sign, final byte nans) {#539,16.47015635172526
int shf;#1982,16.470067580540974
return trap(type, what, oper, def, result);#2188,16.46956048692976
Dfp result = newInstance(getZero());#1420,16.468202590942383
return trunc(DfpField.RoundingMode.ROUND_FLOOR);#926,16.46792034002451
if (x < 0 || x >= RADIX) {#1541,16.46775197982788
for (int i = mant.length - 1; i > 0; i--) {#667,16.467743626347296
public Dfp dotrap(int type, String what, Dfp oper, Dfp result) {#2133,16.467522506713866
if (adiff < 0) {#701,16.465655148029327
Dfp d = newInstance(getOne());#1113,16.46551783879598
if (nans == INFINITE && sign == 1) {#1866,16.46408334145179
case ROUND_HALF_EVEN:#1350,16.462023278941277
for (int i = 0; i < mant.length; i++) {#1484,16.460891207059223
int decimalPos = 0;#406,16.458514962877548
shf = p;#1999,16.454614932720478
if (nans == INFINITE && x == 0) {#1531,16.454507094163162
final Dfp result = newInstance(getZero());#597,16.453919452169668
mant = new int[field.getRadixDigits()];#212,16.45381112532182
public Dfp multiply(final int x) {#1517,16.452282088143484
mant = new int[field.getRadixDigits()];#259,16.45172795382413
return new String(outputbuffer, 0, 5);#2021,16.451472862907078
if (nans == INFINITE && x != 0) {#1526,16.451238320424007
return false;#766,16.450785064697264
case ROUND_HALF_ODD:#1354,16.45022840085237
if (exp > MAX_EXP) {#1390,16.44742993747487
@Override#1953,16.44550546010335
if (exponent == 1024) {#286,16.439662158489227
Dfp rounded;#1049,16.43833605448405
which would cause catastropic loss of precision */#1228,16.437081785763013
return false;#791,16.43400433858236
remainder[mant.length] = 0;#1651,16.43327220280965
if (nans == SNAN) {#1875,16.431486038934615
dividend[mant.length] = 0;#1648,16.430228816138374
private static final String ALIGN_TRAP = "align";#146,16.42781857883229
md = mant.length;  // default#1755,16.42713810415829
for (int i = mant.length - 1; i >= 0; i--) {#1713,16.426506205967495
if (mant[mant.length-1] > 100) {#1099,16.42330328623454
public Dfp negate() {#1313,16.42283239364624
if (a.exp < b.exp) {#888,16.419815063476562
if (fpdecimal.charAt(p) == '.') {#444,16.417303494044713
if (a.exp > b.exp) {#892,16.41670081926429
if (x.nans == INFINITE && nans == INFINITE && sign != x.sign) {#1197,16.413100758114375
return trunc(DfpField.RoundingMode.ROUND_CEIL);#934,16.411548023223876
if (field.getRadixDigits() != divisor.field.getRadixDigits()) {#1592,16.411237955093384
if (fpdecimal.indexOf("-") !=  -1) {#398,16.40894302368164
for (int i = mant.length + 1; i >= 0; i--) {#1756,16.40256447262234
return 0;#908,16.401305198669434
if (negative) {#389,16.399875248179715
if (b.mant[mant.length-1] == 0) {#1229,16.397777520693264
for (;;) {#465,16.397652121151197
if ((bits & 0x8000000000000000L) != 0) {#305,16.397578819938328
if (a.nans == INFINITE && b.nans == INFINITE) {#882,16.396906836279506
ae = e;#2029,16.396186681894157
private static final String LESS_THAN_TRAP = "lessThan";#155,16.392081304029986
if (rounded.greaterThan(newInstance(2147483647))) {#1054,16.389896675392432
return new Dfp(getField());#552,16.389473617076874
if (a.mant[mant.length-1] == 0) {#1233,16.388189645913933
int aextradigit = 0;#1238,16.3875228657442
striped[2] = '0';#431,16.38330775499344
return 0;#1402,16.37865482677113
if (a.exp < b.exp) {#1240,16.366834439729388
long mantissa = Long.parseLong(str);#2357,16.365862946761283
a.sign = 1;#1217,16.364189965384348
return false;#827,16.36282643404874
for (int i = mant.length * 2 - 1; i >= 0; i--) {#1476,16.359995611782733
striped[0] = '0';#429,16.358383297920227
if (!pointInserted) {#2098,16.35289929707845
int sciexp = 0;#371,16.351309458414715
for (int i = 0; i < mant.length; i++) {#1462,16.351014455159504
if (result.mant[mant.length-1] == 0) { // if result is zero, set exp to zero#1772,16.346856302685207
ae = -e;#2031,16.346313291125828
for (int i = mant.length-1; i >= 0; i--) {#1829,16.341018712079084
if (md > (mant.length-1)) {#1498,16.34084619794573
if (trialgood == false) {#1726,16.33796787261963
public Dfp subtract(final Dfp x) {#1323,16.336704635620116
if (q == mant.length*rsize+offset+1) {#440,16.333806344441005
if (p == -1) { // try upper case?#366,16.331011181785946
if (divisor.mant[i] < remainder[i]) {#1717,16.33094998952505
boolean trialgood; // Flag to indicate a good trail digit#1587,16.32873740196228
result.sign = (byte)((sign == x.sign)?1:-1);#1490,16.32833825624906
if (divisor.mant[i] > remainder[i]) {#1714,16.31593183569006
mant = new int[field.getRadixDigits()];#334,16.315923994237725
public boolean greaterThan(final Dfp x) {#776,16.313949942588806
return dfp2string();#1968,16.307815074920654
if (asign == rsign) {#1248,16.30015954517183
public Dfp getZero() {#646,16.29102100025524
Dfp result = newInstance(getZero());#1599,16.288556893666584
private static final String GREATER_THAN_TRAP = "greaterThan";#158,16.286705182946246
private static final String DIVIDE_TRAP = "divide";#140,16.284407565468236
if (md > (mant.length-1)) {#1776,16.2834259668986
if (mant[i] != 0) {#244,16.28258482615153
if (x.nans == INFINITE && nans == INFINITE) {#1444,16.282087326049805
if (x.nans == INFINITE && nans == INFINITE && sign == x.sign) {#1193,16.281592420629554
String fpexp = s.substring(p+1);#375,16.280888374035175
str = str.substring(0, str.length()-1);#2356,16.280874768892925
public static final byte FINITE = 0;#113,16.279244349553036
public Dfp getOne() {#653,16.278725017200816
if (x != x) {#288,16.27355630774247
for(;;) {#434,16.270861332233135
uses shiftRight() */#675,16.26343765258789
if (field.getRoundingMode() == DfpField.RoundingMode.ROUND_DOWN && nsqd == mant.length) {#1737,16.24325832453641
public static final int RADIX = 10000;#99,16.241582797123836
if (nans == INFINITE || nans == QNAN) {#2157,16.23976929982503
public DfpField getField() {#632,16.23329512278239
if (p != -1) {#372,16.23260933160782
while (p > q) {#493,16.2279993057251
for (;;) {#407,16.225773811340332
private static final String ADD_TRAP = "add";#134,16.219588935375214
if (nans == QNAN) {#1871,16.21790248697454
public Dfp newInstance(final byte sig, final byte code) {#621,16.2169512196591
protected String dfp2sci() {#1975,16.21674354871114
public int log10K() {#1078,16.2067194851962
@Override#815,16.202916304270428
if (exp > mant.length || exp < -1) {#1964,16.19409348747947
if (result.classify() == INFINITE && this.classify() != INFINITE) {#2285,16.182600944272934
def.sign = (byte)(sign*oper.sign);#2147,16.167046257943817
return (sign < 0) ? NEG_INFINITY_STRING : POS_INFINITY_STRING;#1958,16.163721743084135
if (lostdigit != 0) {#726,16.158995906511944
if (x.isNaN()) {#1428,16.152240208217076
private static final String NAN_STRING = "NaN";#125,16.151712523566353
private static final String MULTIPLY_TRAP = "multiply";#137,16.147354035150435
public Dfp multiply(final Dfp x) {#1410,16.14720001220703
if (mant[mant.length-1] == 0) {#969,16.144217014312744
if (x == 0) {#271,16.141783212360583
public double[] toSplitDouble() {#2390,16.139909585316975
while (!trialgood) {#1673,16.139879014756943
if (quotient[i] != 0) {#1757,16.133496046066284
if (p == (fpdecimal.length())) {#435,16.126648559570313
if (nans == INFINITE) {#1957,16.123671184886586
if (nans == INFINITE) {#1802,16.122620994394477
private static final String NEW_INSTANCE_TRAP = "newInstance";#161,16.11849808692932
if (remainder[mant.length] != 0) {#1722,16.11770651417394
result.sign = (byte) ((sign == divisor.sign) ? 1 : -1);#1770,16.11290432612101
if (divisor.mant[mant.length-1] == 0) {#1633,16.109433344432286
if (rh != 0 && (asign == bsign)) {#1268,16.09556211124767
return Double.POSITIVE_INFINITY;#2309,16.094229609877974
return Double.NEGATIVE_INFINITY;#2307,16.09403905162105
if (trial != 0 || nsqd != 0) {#1733,16.091670150756837
if (asign != bsign) {#1247,16.08796428231632
protected Dfp(final DfpField field) {#181,16.084997685750327
public Dfp newInstance(final double x) {#583,16.08388195037842
if (x.isNaN()) {#1181,16.077946889968146
if (isNaN()) {#1798,16.07668429926822
public static final byte QNAN = 3;#122,16.067225864955358
@Override#835,16.05979077021281
public Dfp rint() {#917,16.058227105574176
if (compare(this, x) == 0) {#2247,16.052988960629417
if (a.greaterThan(half)) {#1021,16.04872292280197
for (int i = mant.length - 1; i >= 0; i--) {#1986,16.047747647320783
switch ((e % 4 + 4) % 4) {#1121,16.044706869125367
if (divisor.nans == INFINITE && nans == INFINITE) {#1623,16.042153763048578
public Dfp nextAfter(final Dfp x) {#2231,16.0413898229599
if ( (result.exp+mant.length) < MIN_EXP) {#2169,16.03850037911359
int p = s.indexOf("e");#365,16.037750191158718
public Dfp add(final Dfp x) {#1165,16.036447207132976
if (negate) {#2378,16.0362332207816
if (!decimalFound) {#484,16.02612730662028
if (asign != bsign) {#1295,16.018555641174316
if (minadj >= 2) {#1705,16.016395330429077
if (a.sign == -1) {#866,16.014399095015094
if (x.equals(ppx)) {#1934,16.008563373399816
public boolean unequal(final Dfp x) {#844,16.00490644999913
for (int i = mant.length - 1; i >= 0; i--) {#2079,16.00140087692826
public Dfp getTwo() {#660,15.997326590798117
if (exponent < 0) {#2327,15.992598593235016
private static int compare(final Dfp a, final Dfp b) {#858,15.990509986877441
if (nsqd > mant.length) {#1742,15.987781731978707
public static final byte SNAN = 2;#119,15.98736022068904
if (isNaN()) {#1522,15.984537977921335
for (i = mant.length - 1; i >= 0; i--) {#515,15.983171646411602
if (s.equals(NAN_STRING)) {#358,15.969371210445058
public Dfp remainder(final Dfp d) {#941,15.968782170613606
public Dfp power10K(final int e) {#1086,15.968690097332
for (p = 1000000000; p > ae; p /= 10) {#2035,15.968588498922495
if (isNaN()) {#1177,15.967985353971782
if (product[i] != 0) {#1477,15.96391994302923
if (n != 0) {#1396,15.95065091451009
int ae;#1981,15.948714335759481
if (isNaN()) {#1424,15.933470324466104
public Dfp power10(final int e) {#1112,15.919833437601726
while (p > 0) {#2043,15.912152099609376
if (p == fpdecimal.length()) {#422,15.912140766779581
if (q < striped.length) {#526,15.904431230881634
its a good one if it is less than the divisor */#1711,15.904342308044434
private static final String NEG_INFINITY_STRING = "-Infinity";#131,15.890938867222179
if (divisor.isNaN()) {#1607,15.890401093856148
if (x == Long.MIN_VALUE) {#217,15.884102118642707
protected String dfp2string() {#2056,15.883421977361044
public boolean equals(final Object other) {#816,15.881534576416016
if (isNaN()) {#1603,15.881308003475791
private static final String SQRT_TRAP = "sqrt";#143,15.861799399058023
public Dfp divide(Dfp divisor) {#1579,15.853356957435608
if (x < 0) {#225,15.847180875142415
if (this.equals(getZero())) {#2278,15.845682402451834
while (x != 0) {#233,15.844287109375
if (result.equals(getZero()) && this.equals(getZero()) == false) {#2290,15.843768858140514
if (diff < 0) {#721,15.842262619420103
if (this.equals(getZero())) {#2262,15.841161290804544
if (inexact) {#738,15.834757741292318
if (other instanceof Dfp) {#818,15.82829688577091
if (sign == -1) {#2003,15.826382756233215
if (rh != 0) {#1377,15.824161880894712
if (s.equals(NEG_INFINITY_STRING)) {#352,15.823802911318266
if (--e == 0) {#2084,15.814695930480957
private static final String NEXT_AFTER_TRAP = "nextAfter";#152,15.794028282165527
if (rh == 0) {#1695,15.790916359942893
if (nans == INFINITE) {#965,15.786901421017117
public boolean isInfinite() {#800,15.772219571200283
if (a.sign != b.sign) {#865,15.771929791099147
